,id_image,Price,Beds,Baths,Square Feet,Street,City,Toilets,COUNTY,median_listing_price
299,1507 W 146th St APT 2,599000.0,3,3,1378.0,1507 W 146th St APT 2,GARDENA,0,GARDENA,699500.0
60,1509 Prospect Ln,445000.0,3,2,1330.0,1509 Prospect Ln,MODESTO,0,MODESTO,415000.0
292,1520 E Harvard St,989989.0,4,2,1564.0,1520 E Harvard St,GLENDALE,0,GLENDALE,1176663.0
271,15215 Friends St,3600000.0,3,3,2020.0,15215 Friends St,LOS ANGELES,0,LOS ANGELES,1003125.0
182,15275 Coutolenc Rd,385000.0,3,3,1792.0,15275 Coutolenc Rd,BUTTE,0,CLIPPER MILLS,201250.0
14,153 Baker Ave,1480000.0,3,2,1420.0,153 Baker Ave,PISMO BEACH,0,PISMO BEACH,1480000.0
315,1545 Palos Verdes Dr W,2090000.0,3,3,2222.0,1545 Palos Verdes Dr W,LOS ANGELES,0,LOS ANGELES,1003125.0
102,15494 Oakstand Ct,2250000.0,5,5,3905.0,15494 Oakstand Ct,POWAY,0,POWAY,1520000.0
210,155 Smithwood St,1630000.0,4,3,1713.0,155 Smithwood St,MILPITAS,0,MILPITAS,1630000.0
206,15513 Cascade Loop,590000.0,3,3,1988.0,15513 Cascade Loop,NEVADA CITY,0,NEVADA CITY,590000.0
74,1560 W Heritage Avenue,295000.0,3,2,1510.0,1560 W Heritage Avenue,PORTERVILLE,0,PORTERVILLE,295000.0
156,15645 Oliver St,616000.0,4,3,2248.0,15645 Oliver St,MORENO VALLEY,0,MORENO VALLEY,556475.0
35,159 Del Rio Cir APT 4,366000.0,3,1,1056.0,159 Del Rio Cir APT 4,VACAVILLE,0,VACAVILLE,542000.0
141,15995 Pinnacle Rd,1500000.0,5,3,3269.0,15995 Pinnacle Rd,CHINO HILLS,0,CHINO HILLS,1350000.0
300,16002 S Menlo Ave,800000.0,4,2,1504.0,16002 S Menlo Ave,GARDENA,0,GARDENA,699500.0
265,1605 Marshallfield Ln,1550000.0,4,2,1440.0,1605 Marshallfield Ln,REDONDO BEACH,0,REDONDO BEACH,17.433.333.333.333.300
55,1610 Maple Dr,782000.0,4,4,3100.0,1610 Maple Dr,WEED,0,WEED,782000.0
164,162 Lake Shore Dr,860000.0,3,3,2148.0,162 Lake Shore Dr,RANCHO MIRAGE,0,RANCHO MIRAGE,1715000.0
148,162 Tiger Tail Rd,2350000.0,5,6,2853.0,162 Tiger Tail Rd,PLACER,0,OLYMPIC VALLEY,1530000.0
54,1624 Via Quantico,115000.0,2,2,1152.0,1624 Via Quantico,SANTA MARIA,0,SANTA MARIA,540000.0
310,1628 E Abbottson St,685000.0,3,2,1313.0,1628 E Abbottson St,CARSON,0,CARSON,149975.0
220,16440 Soda Springs Rd,1870000.0,5,4,3367.0,16440 Soda Springs Rd,LOS GATOS,0,LOS GATOS,1870000.0
186,1668 Liana Ln,915000.0,3,2,1899.0,1668 Liana Ln,CONCORD,0,CONCORD,1022500.0
16,1675 Lyle Ln,811000.0,4,3,1998.0,1675 Lyle Ln,PASO ROBLES,0,PASO ROBLES,811000.0
65,1702 Cartagena Dr,450000.0,3,2,2103.0,1702 Cartagena Dr,YUBA CITY,0,YUBA CITY,450000.0
317,1708 El Rey Rd,1380000.0,3,3,2033.0,1708 El Rey Rd,LOS ANGELES,0,LOS ANGELES,1003125.0
48,1740 La Coronilla Dr,2880000.0,3,2,1774.0,1740 La Coronilla Dr,SANTA BARBARA,0,SANTA BARBARA,1749500.0
101,17545 Matinal Rd,870000.0,3,3,1240.0,17545 Matinal Rd,SAN DIEGO,0,SAN DIEGO,977000.0
88,1766 Hanley Ave,820000.0,5,2,1720.0,1766 Hanley Ave,SIMI VALLEY,0,SIMI VALLEY,8.316.666.666.666.660
100,17722 Villamoura Dr,790000.0,2,3,1659.0,17722 Villamoura Dr,POWAY,0,POWAY,1520000.0
249,17846 Oakrock Ct,1450000.0,4,3,2669.0,17846 Oakrock Ct,LOS ANGELES,0,LOS ANGELES,1003125.0
67,179 Ramada Ln,1480000.0,3,2,1693.0,179 Ramada Ln,SANTA CRUZ,0,SANTA CRUZ,716987.5
10,1801 Orchis Ct,650000.0,4,3,2285.0,1801 Orchis Ct,LODI,0,LODI,650000.0
138,18015 Hercules St,280200.0,3,1,1025.0,18015 Hercules St,HESPERIA,0,HESPERIA,3.817.333.333.333.330
273,1804 Manzanita Park Ave,3000000.0,5,4,2700.0,1804 Manzanita Park Ave,MALIBU,0,MALIBU,3000000.0
136,18154 Hackberry St,355000.0,3,2,1369.0,18154 Hackberry St,HESPERIA,0,HESPERIA,3.817.333.333.333.330
188,1833 Eagle Peak Ave,1090000.0,4,3,2313.0,1833 Eagle Peak Ave,CLAYTON,0,CLAYTON,217737.5
270,1850 Coldwater Canyon Dr,2060000.0,3,3,2408.0,1850 Coldwater Canyon Dr,BEVERLY HILLS,0,BEVERLY HILLS,2060000.0
125,1855 Manzana Way,630000.0,3,2,1293.0,1855 Manzana Way,SAN DIEGO,0,SAN DIEGO,977000.0
180,1865 Fort Wayne St,99000.0,1,1,572.0,1865 Fort Wayne St,OROVILLE,0,OROVILLE,99000.0
304,1865 Knoxville Ave,1310000.0,4,3,2042.0,1865 Knoxville Ave,LONG BEACH,0,LONG BEACH,1.102.857.142.857.140
187,1908 Springridge Ct,1130000.0,5,3,2662.0,1908 Springridge Ct,CONCORD,0,CONCORD,1022500.0
190,1908 Strayhorn Rd,827000.0,3,3,1598.0,1908 Strayhorn Rd,PLEASANT HILL,0,PLEASANT HILL,827000.0
69,191 Dutchman Rd,739000.0,3,2,1092.0,191 Dutchman Rd,WATSONVILLE,0,WATSONVILLE,739000.0
234,19224 Aetna St,1220000.0,3,2,1672.0,19224 Aetna St,LOS ANGELES,0,LOS ANGELES,1003125.0
5,195 Ledyard St,1450000.0,5,4,2024.0,195 Ledyard St,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
280,1953 S Los Robles Ave,1470000.0,3,2,1333.0,1953 S Los Robles Ave,SAN MARINO,0,SAN MARINO,1470000.0
252,19547 Germain St,1300000.0,4,3,2373.0,19547 Germain St,LOS ANGELES,0,LOS ANGELES,1003125.0
2,1982 44th Ave,1450000.0,3,2,1150.0,1982 44th Ave,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
115,1986 Magdalene Way,1660000.0,4,2,2052.0,1986 Magdalene Way,SAN DIEGO,0,SAN DIEGO,977000.0
23,201 W Poplar Ave,8000000.0,6,7,4300.0,201 W Poplar Ave,SAN MATEO,0,SAN MATEO,1596500.0
229,20156 Baltar St,1110000.0,4,3,2974.0,20156 Baltar St,LOS ANGELES,0,LOS ANGELES,1003125.0
232,20225 Clark St,1210000.0,4,2,1856.0,20225 Clark St,LOS ANGELES,0,LOS ANGELES,1003125.0
230,20344 Mobile St,807000.0,4,3,1870.0,20344 Mobile St,LOS ANGELES,0,LOS ANGELES,1003125.0
68,205 Sand St,1410000.0,3,2,1593.0,205 Sand St,SANTA CRUZ,0,SANTA CRUZ,716987.5
233,20736 Clarendon St,1180000.0,3,3,1852.0,20736 Clarendon St,LOS ANGELES,0,LOS ANGELES,1003125.0
103,208 Via Osuna,1300000.0,2,2,1267.0,208 Via Osuna,SAN DIEGO,0,SAN DIEGO,977000.0
112,2085 Caminito San Nicholas,1550000.0,3,2,1700.0,2085 Caminito San Nicholas,SAN DIEGO,0,SAN DIEGO,977000.0
293,2102 Laverna Ave,1400000.0,4,2,1729.0,2102 Laverna Ave,LOS ANGELES,0,LOS ANGELES,1003125.0
311,211 S Francisca Ave #A,1650000.0,3,3,2100.0,211 S Francisca Ave #A,REDONDO BEACH,0,REDONDO BEACH,17.433.333.333.333.300
153,2141 Saint Lawrence St,915000.0,3,2,1866.0,2141 Saint Lawrence St,RIVERSIDE,0,RIVERSIDE,642497.0
87,2148 Rhoda St,805000.0,4,3,1725.0,2148 Rhoda St,SIMI VALLEY,0,SIMI VALLEY,8.316.666.666.666.660
4,216 Dorland St,1360000.0,2,2,1132.0,216 Dorland St,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
312,217 Via Los Miradores,2030000.0,3,3,2240.0,217 Via Los Miradores,REDONDO BEACH,0,REDONDO BEACH,17.433.333.333.333.300
237,21806 Ybarra Rd,1070000.0,3,3,2016.0,21806 Ybarra Rd,LOS ANGELES,0,LOS ANGELES,1003125.0
63,220 Orange Ave,550000.0,3,2,1675.0,220 Orange Ave,MODESTO,0,MODESTO,415000.0
0,2200 Sacramento St APT 206,1720000.0,2,2,969.0,2200 Sacramento St APT 206,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
56,2225 Sunny Creek Way,459000.0,3,2,1810.0,2225 Sunny Creek Way,NEWMAN,0,NEWMAN,459000.0
225,2229 Golden Dew Cir,1270000.0,3,2,1542.0,2229 Golden Dew Cir,SAN JOSE,0,SAN JOSE,11.484.090.909.090.900
75,223 S Center Street,110000.0,1,1,592.0,223 S Center Street,TULARE,0,TULARE,380000.0
318,2232 Daladier Dr,1680000.0,4,3,2948.0,2232 Daladier Dr,RANCHO PALOS VERDES,0,RANCHO PALOS VERDES,17.366.666.666.666.600
15,2265 Lariat Loop,335000.0,3,2,1943.0,2265 Lariat Loop,MONTEREY,0,MONTEREY,1230750.0
33,2275 Cambridge Dr,535000.0,3,2,1532.0,2275 Cambridge Dr,FAIRFIELD,0,FAIRFIELD,4.687.166.666.666.660
154,22862 Springdale Dr,540000.0,3,3,1538.0,22862 Springdale Dr,MORENO VALLEY,0,MORENO VALLEY,556475.0
157,22882 Giant Fir Pl,800000.0,4,3,2400.0,22882 Giant Fir Pl,RIVERSIDE,0,RIVERSIDE,642497.0
278,229 S Ynez Ave APT G,680000.0,3,3,1186.0,229 S Ynez Ave APT G,MONTEREY PARK,0,MONTEREY PARK,680000.0
6,229 Winfield St,950000.0,4,1,1375.0,229 Winfield St,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
31,234 Elm St APT 211,775000.0,2,1,1281.0,234 Elm St APT 211,SAN MATEO,0,SAN MATEO,1596500.0
253,23608 Falcon Crest Pl,820000.0,3,3,1488.0,23608 Falcon Crest Pl,SANTA CLARITA,0,SANTA CLARITA,8.383.333.333.333.330
227,23616 Mariano St,1100000.0,3,3,2235.0,23616 Mariano St,LOS ANGELES,0,LOS ANGELES,1003125.0
