,id_image,Price,Beds,Baths,Square Feet,Street,City,COUNTY,average_listing_price
21,251 Terra St,1030000.0,3,3,2024.0,251 Terra St,MORRO BAY,SAN LUIS OBISPO,1.568.222
14,153 Baker Ave,1480000.0,3,2,1420.0,153 Baker Ave,PISMO BEACH,SAN LUIS OBISPO,1.568.222
99,641 Hillhaven Dr,870000.0,3,3,1510.0,641 Hillhaven Dr,SAN MARCOS,SAN DIEGO,1.834.937
29,538 Willow St,1030000.0,2,1,1010.0,538 Willow St,REDWOOD CITY,SAN MATEO,3.157.364
22,116 Madrone Ave,1430000.0,5,3,2810.0,116 Madrone Ave,SOUTH SAN FRANCISCO,SAN MATEO,3.157.364
30,2606 Cashlea Ct,1370000.0,4,3,2050.0,2606 Cashlea Ct,SOUTH SAN FRANCISCO,SAN MATEO,3.157.364
25,1306 Rainbow Dr,3090000.0,4,3,2670.0,1306 Rainbow Dr,SAN MATEO,SAN MATEO,3.157.364
27,1401 Cedarwood Dr,2540000.0,5,4,4378.0,1401 Cedarwood Dr,SAN MATEO,SAN MATEO,3.157.364
23,201 W Poplar Ave,8000000.0,6,7,4300.0,201 W Poplar Ave,SAN MATEO,SAN MATEO,3.157.364
31,234 Elm St APT 211,775000.0,2,1,1281.0,234 Elm St APT 211,SAN MATEO,SAN MATEO,3.157.364
26,3376 Marisma St,1790000.0,3,2,1200.0,3376 Marisma St,SAN MATEO,SAN MATEO,3.157.364
28,3600 Fernwood St,2280000.0,4,3,1836.0,3600 Fernwood St,SAN MATEO,SAN MATEO,3.157.364
24,827 S Humboldt St,2000000.0,3,2,1883.0,827 S Humboldt St,SAN MATEO,SAN MATEO,3.157.364
50,4487 Sirius Ave,730000.0,5,3,2404.0,4487 Sirius Ave,LOMPOC,SANTA BARBARA,5.009.413
47,5455 8th St UNIT 95,785000.0,2,2,1115.0,5455 8th St UNIT 95,CARPINTERIA,SANTA BARBARA,5.009.413
48,1740 La Coronilla Dr,2880000.0,3,2,1774.0,1740 La Coronilla Dr,SANTA BARBARA,SANTA BARBARA,5.009.413
49,904 Crown Ave,2280000.0,4,3,2528.0,904 Crown Ave,SANTA BARBARA,SANTA BARBARA,5.009.413
220,16440 Soda Springs Rd,1870000.0,5,4,3367.0,16440 Soda Springs Rd,LOS GATOS,SANTA CLARA,2.102.520
210,155 Smithwood St,1630000.0,4,3,1713.0,155 Smithwood St,MILPITAS,SANTA CLARA,2.102.520
212,444 San Antonio Rd APT 6A,1910000.0,3,3,1826.0,444 San Antonio Rd APT 6A,PALO ALTO,SANTA CLARA,2.102.520
211,765 San Antonio Rd APT 86,913898.0,2,1,946.0,765 San Antonio Rd APT 86,PALO ALTO,SANTA CLARA,2.102.520
223,139 Spyglass Hill Rd,800000.0,3,3,1702.0,139 Spyglass Hill Rd,SAN JOSE,SANTA CLARA,2.102.520
218,1450 Palmwood Dr,840000.0,3,1,960.0,1450 Palmwood Dr,SAN JOSE,SANTA CLARA,2.102.520
222,1464 Japaul Ln,1550000.0,3,2,1277.0,1464 Japaul Ln,SAN JOSE,SANTA CLARA,2.102.520
216,1505 Alma Trl,710000.0,2,2,1054.0,1505 Alma Trl,SAN JOSE,SANTA CLARA,2.102.520
225,2229 Golden Dew Cir,1270000.0,3,2,1542.0,2229 Golden Dew Cir,SAN JOSE,SANTA CLARA,2.102.520
224,2703 Klein Rd,1900000.0,4,3,2463.0,2703 Klein Rd,SAN JOSE,SANTA CLARA,2.102.520
215,448 Zaton Ave,1500000.0,3,1,1200.0,448 Zaton Ave,SAN JOSE,SANTA CLARA,2.102.520
226,5220 Makati Cir,727500.0,2,2,1233.0,5220 Makati Cir,SAN JOSE,SANTA CLARA,2.102.520
221,5840 Antigua Dr,2110000.0,4,3,2204.0,5840 Antigua Dr,SAN JOSE,SANTA CLARA,2.102.520
219,611 Balfour Dr,595000.0,2,2,867.0,611 Balfour Dr,SAN JOSE,SANTA CLARA,2.102.520
217,712 Cassaday Ct,630000.0,2,2,912.0,712 Cassaday Ct,SAN JOSE,SANTA CLARA,2.102.520
214,290 Alviso St,1610000.0,2,1,1300.0,290 Alviso St,SANTA CLARA,SANTA CLARA,2.102.520
67,179 Ramada Ln,1480000.0,3,2,1693.0,179 Ramada Ln,SANTA CRUZ,SANTA CRUZ,1.536.203
68,205 Sand St,1410000.0,3,2,1593.0,205 Sand St,SANTA CRUZ,SANTA CRUZ,1.536.203
66,318 Soquel Ave UNIT A3,575000.0,1,1,1028.0,318 Soquel Ave UNIT A3,SANTA CRUZ,SANTA CRUZ,1.536.203
52,1061 Wildwood Rd,580000.0,4,2,1447.0,1061 Wildwood Rd,SANTA MARIA,SANTA BARBARA,5.009.413
54,1624 Via Quantico,115000.0,2,2,1152.0,1624 Via Quantico,SANTA MARIA,SANTA BARBARA,5.009.413
51,2419 Ebony St,675000.0,5,3,2008.0,2419 Ebony St,SANTA MARIA,SANTA BARBARA,5.009.413
53,625 Morro Dr,790000.0,4,3,2830.0,625 Morro Dr,SANTA MARIA,SANTA BARBARA,5.009.413
268,2912 11th St APT 6,900000.0,2,1,684.0,2912 11th St APT 6,SANTA MONICA,LOS ANGELES,2.606.021
43,1006 Rutledge Ave,581000.0,2,2,980.0,1006 Rutledge Ave,SANTA ROSA,SONOMA,1.759.251
44,4450 La Paz Ln,1880000.0,3,4,3168.0,4450 La Paz Ln,SANTA ROSA,SONOMA,1.759.251
42,6457 Highway 12,685000.0,3,2,1689.0,6457 Highway 12,SANTA ROSA,SONOMA,1.759.251
113,9228 Elton Dr,555000.0,2,2,860.0,9228 Elton Dr,SANTEE,LOS ANGELES,2.606.021
199,2924 F St,345000.0,3,2,1379.0,2924 F St,SELMA,FRESNO,591.693
40,1482 Driftwood Cir,655000.0,4,3,1942.0,1482 Driftwood Cir,FAIRFIELD,SOLANO,689.497
33,2275 Cambridge Dr,535000.0,3,2,1532.0,2275 Cambridge Dr,FAIRFIELD,SOLANO,689.497
32,5145 Mono Ct,910000.0,4,3,2080.0,5145 Mono Ct,FAIRFIELD,SOLANO,689.497
41,471 Pleasant Hill Ave N,1210000.0,3,2,1644.0,471 Pleasant Hill Ave N,SEBASTOPOL,SONOMA,1.759.251
279,339 Camino Del Sol,1970000.0,3,2,1966.0,339 Camino Del Sol,SOUTH PASADENA,LOS ANGELES,2.606.021
62,109 Wilson Ave,320000.0,3,2,1150.0,109 Wilson Ave,MODESTO,STANISLAUS,625.522
60,1509 Prospect Ln,445000.0,3,2,1330.0,1509 Prospect Ln,MODESTO,STANISLAUS,625.522
63,220 Orange Ave,550000.0,3,2,1675.0,220 Orange Ave,MODESTO,STANISLAUS,625.522
64,412 Ryan Ave,340000.0,3,2,1080.0,412 Ryan Ave,MODESTO,STANISLAUS,625.522
57,872 Richland Ave,420000.0,3,2,1272.0,872 Richland Ave,MODESTO,STANISLAUS,625.522
56,2225 Sunny Creek Way,459000.0,3,2,1810.0,2225 Sunny Creek Way,NEWMAN,STANISLAUS,625.522
59,100 Fairvale Ct,530000.0,3,2,2041.0,100 Fairvale Ct,TURLOCK,STANISLAUS,625.522
58,1111 Yosemite St,505000.0,2,2,1761.0,1111 Yosemite St,TURLOCK,STANISLAUS,625.522
61,1262 Shady Ln,520000.0,3,2,1821.0,1262 Shady Ln,TURLOCK,STANISLAUS,625.522
11,3894 Vancouver Cir,555000.0,3,2,1885.0,3894 Vancouver Cir,STOCKTON,SAN JOAQUIN,676.621
12,8728 Lianna Ct,322500.0,2,2,1070.0,8728 Lianna Ct,STOCKTON,SAN JOAQUIN,676.621
13,8936 Cherry Hills Pl,540000.0,4,3,2186.0,8936 Cherry Hills Pl,STOCKTON,SAN JOAQUIN,676.621
213,692 Vanderbilt Dr,2860000.0,4,3,1990.0,692 Vanderbilt Dr,SUNNYVALE,SANTA CLARA,2.102.520
70,350 Gilmore Rd SPACE 66,152000.0,2,2,960.0,350 Gilmore Rd SPACE 66,RED BLUFF,TEHAMA,526.283
179,32028 Via Bonilla,794000.0,3,2,2000.0,32028 Via Bonilla,TEMECULA,RIVERSIDE,943.348
177,45597 Olympic Way,875000.0,5,3,2818.0,45597 Olympic Way,TEMECULA,RIVERSIDE,943.348
313,4913 Sharynne Ln,1480000.0,3,2,1719.0,4913 Sharynne Ln,TORRANCE,LOS ANGELES,2.606.021
74,1560 W Heritage Avenue,295000.0,3,2,1510.0,1560 W Heritage Avenue,PORTERVILLE,TULARE,492.358
75,223 S Center Street,110000.0,1,1,592.0,223 S Center Street,TULARE,TULARE,492.358
72,42339 Road 114,945000.0,4,3,3200.0,42339 Road 114,DINUBA,TULARE,492.358
71,24239 Wuuya Way,415000.0,3,3,2368.0,24239 Wuuya Way,MI WUK VILLAGE,TUOLUMNE,523.466
142,361 W 8th St,580000.0,2,1,792.0,361 W 8th St,UPLAND,SAN BERNARDINO,652.055
36,100 Independence Ave,555000.0,3,3,1532.0,100 Independence Ave,VACAVILLE,SOLANO,689.497
37,1131 Araquipa Ct,535000.0,3,2,1265.0,1131 Araquipa Ct,VACAVILLE,SOLANO,689.497
35,159 Del Rio Cir APT 4,366000.0,3,1,1056.0,159 Del Rio Cir APT 4,VACAVILLE,SOLANO,689.497
38,254 Saybrook Ave,615000.0,4,2,1824.0,254 Saybrook Ave,VACAVILLE,SOLANO,689.497
39,337 Samantha Pl,639000.0,4,3,1952.0,337 Samantha Pl,VACAVILLE,SOLANO,689.497
34,1431 Alabama St,450000.0,2,1,1028.0,1431 Alabama St,VALLEJO,SOLANO,689.497
82,10791 Citrus Dr,400000.0,2,3,1762.0,10791 Citrus Dr,MOORPARK,VENTURA,1.998.235
83,4372 Clearwood Rd,1250000.0,4,4,3709.0,4372 Clearwood Rd,MOORPARK,VENTURA,1.998.235
80,823 Kingfisher Way,610000.0,3,3,1750.0,823 Kingfisher Way,OXNARD,VENTURA,1.998.235
79,2536 Neptune Pl,491542.0,2,2,1145.0,2536 Neptune Pl,PORT HUENEME,VENTURA,1.998.235
88,1766 Hanley Ave,820000.0,5,2,1720.0,1766 Hanley Ave,SIMI VALLEY,VENTURA,1.998.235
87,2148 Rhoda St,805000.0,4,3,1725.0,2148 Rhoda St,SIMI VALLEY,VENTURA,1.998.235
86,3262 Black Ave,870000.0,4,2,1263.0,3262 Black Ave,SIMI VALLEY,VENTURA,1.998.235
76,2543 Harbor Blvd APT 1,587000.0,2,2,1046.0,2543 Harbor Blvd APT 1,VENTURA,VENTURA,1.998.235
77,5028 Shenandoah St,437500.0,2,1,903.0,5028 Shenandoah St,VENTURA,VENTURA,1.998.235
85,2671 Capella Way,1450000.0,5,3,2661.0,2671 Capella Way,THOUSAND OAKS,VENTURA,1.998.235
89,317 Mesa Ave,1050000.0,4,3,2284.0,317 Mesa Ave,THOUSAND OAKS,VENTURA,1.998.235
90,3363 W Holloway St,869000.0,3,2,1141.0,3363 W Holloway St,THOUSAND OAKS,VENTURA,1.998.235
81,1136 Belleza St,799000.0,2,2,1511.0,1136 Belleza St,CAMARILLO,VENTURA,1.998.235
84,2758 N Las Posas Cir,1780000.0,4,3,3221.0,2758 N Las Posas Cir,CAMARILLO,VENTURA,1.998.235
78,292 Lantana St,805000.0,3,3,1333.0,292 Lantana St,CAMARILLO,VENTURA,1.998.235
73,3520 W Howard Avenue,420000.0,4,2,1693.0,3520 W Howard Avenue,VISALIA,TULARE,492.358
98,1177 Countrywood Ln,1580000.0,4,3,2833.0,1177 Countrywood Ln,VISTA,SAN DIEGO,1.834.937
69,191 Dutchman Rd,739000.0,3,2,1092.0,191 Dutchman Rd,WATSONVILLE,SANTA CRUZ,1.536.203
55,1610 Maple Dr,782000.0,4,4,3100.0,1610 Maple Dr,WEED,SISKIYOU,506.849
228,30803 Paris Ct,4100.0,2,2,1502.0,30803 Paris Ct,WESTLAKE VILLAGE,LOS ANGELES,2.606.021
321,14348 Flomar Dr,745000.0,2,2,1479.0,14348 Flomar Dr,WHITTIER,LOS ANGELES,2.606.021
46,9420 Elsie Way,1630000.0,5,4,3345.0,9420 Elsie Way,WINDSOR,SONOMA,1.759.251
45,9961 Herb Rd,1830000.0,4,3,2808.0,9961 Herb Rd,WINDSOR,SONOMA,1.759.251
65,1702 Cartagena Dr,450000.0,3,2,2103.0,1702 Cartagena Dr,YUBA CITY,SUTTER,496.190
