,id_image,Price,Beds,Baths,Square Feet,Street,City,COUNTY,average_listing_price
312,217 Via Los Miradores,2030000.0,3,3,2240.0,217 Via Los Miradores,REDONDO BEACH,LOS ANGELES,2.606.021
269,999 N Doheny Dr APT 906,1000000.0,3,1,613.0,999 N Doheny Dr APT 906,WEST HOLLYWOOD,LOS ANGELES,2.606.021
244,10207 Camarillo St,1280000.0,2,2,1448.0,10207 Camarillo St,LOS ANGELES,LOS ANGELES,2.606.021
251,10847 Sunnybrae Ave,1140000.0,5,3,2635.0,10847 Sunnybrae Ave,LOS ANGELES,LOS ANGELES,2.606.021
276,1143 W 24th St,998000.0,3,1,1204.0,1143 W 24th St,LOS ANGELES,LOS ANGELES,2.606.021
272,1172 Lachman Ln,4950000.0,4,4,3203.0,1172 Lachman Ln,LOS ANGELES,LOS ANGELES,2.606.021
274,1453 W 50th St,680000.0,3,2,1520.0,1453 W 50th St,LOS ANGELES,LOS ANGELES,2.606.021
271,15215 Friends St,3600000.0,3,3,2020.0,15215 Friends St,LOS ANGELES,LOS ANGELES,2.606.021
315,1545 Palos Verdes Dr W,2090000.0,3,3,2222.0,1545 Palos Verdes Dr W,LOS ANGELES,LOS ANGELES,2.606.021
317,1708 El Rey Rd,1380000.0,3,3,2033.0,1708 El Rey Rd,LOS ANGELES,LOS ANGELES,2.606.021
249,17846 Oakrock Ct,1450000.0,4,3,2669.0,17846 Oakrock Ct,LOS ANGELES,LOS ANGELES,2.606.021
234,19224 Aetna St,1220000.0,3,2,1672.0,19224 Aetna St,LOS ANGELES,LOS ANGELES,2.606.021
252,19547 Germain St,1300000.0,4,3,2373.0,19547 Germain St,LOS ANGELES,LOS ANGELES,2.606.021
229,20156 Baltar St,1110000.0,4,3,2974.0,20156 Baltar St,LOS ANGELES,LOS ANGELES,2.606.021
232,20225 Clark St,1210000.0,4,2,1856.0,20225 Clark St,LOS ANGELES,LOS ANGELES,2.606.021
230,20344 Mobile St,807000.0,4,3,1870.0,20344 Mobile St,LOS ANGELES,LOS ANGELES,2.606.021
233,20736 Clarendon St,1180000.0,3,3,1852.0,20736 Clarendon St,LOS ANGELES,LOS ANGELES,2.606.021
293,2102 Laverna Ave,1400000.0,4,2,1729.0,2102 Laverna Ave,LOS ANGELES,LOS ANGELES,2.606.021
237,21806 Ybarra Rd,1070000.0,3,3,2016.0,21806 Ybarra Rd,LOS ANGELES,LOS ANGELES,2.606.021
227,23616 Mariano St,1100000.0,3,3,2235.0,23616 Mariano St,LOS ANGELES,LOS ANGELES,2.606.021
297,2514 Harmony Pl,1480000.0,3,2,1655.0,2514 Harmony Pl,LOS ANGELES,LOS ANGELES,2.606.021
296,2631 Homepark Ave,1250000.0,3,2,1493.0,2631 Homepark Ave,LOS ANGELES,LOS ANGELES,2.606.021
261,30546 San Martinez Rd,570000.0,4,2,1752.0,30546 San Martinez Rd,LOS ANGELES,LOS ANGELES,2.606.021
246,3336 Bonnie Hill Dr,1960000.0,2,1,1208.0,3336 Bonnie Hill Dr,LOS ANGELES,LOS ANGELES,2.606.021
240,3713 Royal Woods Dr,1950000.0,4,3,2766.0,3713 Royal Woods Dr,LOS ANGELES,LOS ANGELES,2.606.021
275,3715 Hillcrest Dr,1800000.0,4,4,2400.0,3715 Hillcrest Dr,LOS ANGELES,LOS ANGELES,2.606.021
242,3873 Berry Dr,2580000.0,4,5,2886.0,3873 Berry Dr,LOS ANGELES,LOS ANGELES,2.606.021
262,4054 W 59th Pl,1330000.0,3,2,1415.0,4054 W 59th Pl,LOS ANGELES,LOS ANGELES,2.606.021
238,4112 Nogales Dr,2600000.0,4,5,4906.0,4112 Nogales Dr,LOS ANGELES,LOS ANGELES,2.606.021
241,4133 Farmdale Ave,3400000.0,5,6,4012.0,4133 Farmdale Ave,LOS ANGELES,LOS ANGELES,2.606.021
245,4139 Cahuenga Blvd APT 103,766000.0,2,3,1186.0,4139 Cahuenga Blvd APT 103,LOS ANGELES,LOS ANGELES,2.606.021
277,4750 Templeton St APT 1110,590000.0,2,2,1075.0,4750 Templeton St APT 1110,LOS ANGELES,LOS ANGELES,2.606.021
243,5100 Riverton Ave UNIT 9,850000.0,3,3,1683.0,5100 Riverton Ave UNIT 9,LOS ANGELES,LOS ANGELES,2.606.021
295,521 Inverness Dr,3220000.0,4,5,4212.0,521 Inverness Dr,LOS ANGELES,LOS ANGELES,2.606.021
239,5420 Sylmar Ave APT 213,582500.0,2,2,1172.0,5420 Sylmar Ave APT 213,LOS ANGELES,LOS ANGELES,2.606.021
235,5700 Etiwanda Ave UNIT 105,510000.0,3,2,1075.0,5700 Etiwanda Ave UNIT 105,LOS ANGELES,LOS ANGELES,2.606.021
236,5700 Etiwanda Ave UNIT 167,415000.0,2,2,938.0,5700 Etiwanda Ave UNIT 167,LOS ANGELES,LOS ANGELES,2.606.021
259,5815 Braeloch St,840000.0,5,4,3246.0,5815 Braeloch St,LOS ANGELES,LOS ANGELES,2.606.021
298,630 W 112th St,750000.0,4,2,1902.0,630 W 112th St,LOS ANGELES,LOS ANGELES,2.606.021
287,6700 Hillpark Dr APT 203,645000.0,2,2,1154.0,6700 Hillpark Dr APT 203,LOS ANGELES,LOS ANGELES,2.606.021
231,6815 Remmet Ave UNIT 217,368000.0,1,1,619.0,6815 Remmet Ave UNIT 217,LOS ANGELES,LOS ANGELES,2.606.021
286,6830 De Longpre Ave,940000.0,2,2,910.0,6830 De Longpre Ave,LOS ANGELES,LOS ANGELES,2.606.021
289,6887 Yeager Pl,881000.0,2,2,1434.0,6887 Yeager Pl,LOS ANGELES,LOS ANGELES,2.606.021
288,7048 Macapa Dr,4000000.0,3,3,2949.0,7048 Macapa Dr,LOS ANGELES,LOS ANGELES,2.606.021
284,709 Coronado Ter,1330000.0,3,3,1614.0,709 Coronado Ter,LOS ANGELES,LOS ANGELES,2.606.021
285,726 N Las Palmas Ave,2000000.0,2,2,1765.0,726 N Las Palmas Ave,LOS ANGELES,LOS ANGELES,2.606.021
250,8914 Valjean Ave,875000.0,3,2,1234.0,8914 Valjean Ave,LOS ANGELES,LOS ANGELES,2.606.021
302,12923 Droxford St,1070000.0,3,2,1696.0,12923 Droxford St,CERRITOS,LOS ANGELES,2.606.021
194,1152 Richmond St,770000.0,4,3,1464.0,1152 Richmond St,EL CERRITO,LOS ANGELES,2.606.021
193,5900 Poinsett Ave,1450000.0,5,3,2733.0,5900 Poinsett Ave,EL CERRITO,LOS ANGELES,2.606.021
292,1520 E Harvard St,989989.0,4,2,1564.0,1520 E Harvard St,GLENDALE,LOS ANGELES,2.606.021
290,3611 Las Palmas Ave,1300000.0,3,1,1125.0,3611 Las Palmas Ave,GLENDALE,LOS ANGELES,2.606.021
291,534 Olmsted Dr,1240000.0,3,2,1688.0,534 Olmsted Dr,GLENDALE,LOS ANGELES,2.606.021
248,500 N Frederic St,1410000.0,4,2,1942.0,500 N Frederic St,BURBANK,LOS ANGELES,2.606.021
247,730 N Niagara St,1360000.0,3,2,1605.0,730 N Niagara St,BURBANK,LOS ANGELES,2.606.021
280,1953 S Los Robles Ave,1470000.0,3,2,1333.0,1953 S Los Robles Ave,SAN MARINO,LOS ANGELES,2.606.021
310,1628 E Abbottson St,685000.0,3,2,1313.0,1628 E Abbottson St,CARSON,LOS ANGELES,2.606.021
264,4021 W 159th St,940000.0,4,2,1456.0,4021 W 159th St,LAWNDALE,LOS ANGELES,2.606.021
273,1804 Manzanita Park Ave,3000000.0,5,4,2700.0,1804 Manzanita Park Ave,MALIBU,LOS ANGELES,2.606.021
266,917 Pacific Ave,4050000.0,5,4,4200.0,917 Pacific Ave,MANHATTAN BEACH,LOS ANGELES,2.606.021
278,229 S Ynez Ave APT G,680000.0,3,3,1186.0,229 S Ynez Ave APT G,MONTEREY PARK,LOS ANGELES,2.606.021
256,2764 Redington St,489900.0,3,3,1428.0,2764 Redington St,PALMDALE,LOS ANGELES,2.606.021
314,761 Via Del Monte,3120000.0,5,5,4380.0,761 Via Del Monte,PALOS VERDES ESTATES,LOS ANGELES,2.606.021
294,500 N Rosemead Blvd APT 12,680000.0,2,3,1315.0,500 N Rosemead Blvd APT 12,PASADENA,LOS ANGELES,2.606.021
15,2265 Lariat Loop,335000.0,3,2,1943.0,2265 Lariat Loop,MONTEREY,MONTEREY,2.791.654
209,10318 Dalewood Way,245000.0,2,2,1780.0,10318 Dalewood Way,GRASS VALLEY,NEVADA ,910.049
204,147 Arcadia Dr,546000.0,3,2,1632.0,147 Arcadia Dr,GRASS VALLEY,NEVADA ,910.049
205,10872 Star Pine Rd,835000.0,3,2,1618.0,10872 Star Pine Rd,TRUCKEE,NEVADA ,910.049
207,13308 Skislope Way,1340000.0,4,3,3867.0,13308 Skislope Way,TRUCKEE,NEVADA ,910.049
206,15513 Cascade Loop,590000.0,3,3,1988.0,15513 Cascade Loop,NEVADA CITY,NEVADA ,910.049
148,162 Tiger Tail Rd,2350000.0,5,6,2853.0,162 Tiger Tail Rd,OLYMPIC VALLEY,PLACER,1.371.323
208,50942 Conifer Dr,710000.0,3,2,2468.0,50942 Conifer Dr,OLYMPIC VALLEY,PLACER,1.371.323
147,620 Foresthill Ave,585000.0,3,3,1939.0,620 Foresthill Ave,AUBURN,PLACER,1.371.323
146,131 W Oak St,420000.0,3,2,1058.0,131 W Oak St,COLFAX,PLACER,1.371.323
171,14777 Palm Dr SPACE 79,155000.0,2,2,1440.0,14777 Palm Dr SPACE 79,DESERT HOT SPRINGS,RIVERSIDE,943.348
172,64629 Brae Burn Ave,385000.0,3,2,1787.0,64629 Brae Burn Ave,DESERT HOT SPRINGS,RIVERSIDE,943.348
162,2665 Beech Tree St,400000.0,3,2,1784.0,2665 Beech Tree St,HEMET,RIVERSIDE,943.348
161,41446 Whittier Ave,410000.0,4,2,1469.0,41446 Whittier Ave,HEMET,RIVERSIDE,943.348
167,75436 Augusta Dr,875000.0,4,5,3068.0,75436 Augusta Dr,INDIAN WELLS,RIVERSIDE,943.348
158,45 Corte Madera,643000.0,4,3,3000.0,45 Corte Madera,LAKE ELSINORE,RIVERSIDE,943.348
155,12703 Softwind Dr,514900.0,3,2,1140.0,12703 Softwind Dr,MORENO VALLEY,RIVERSIDE,943.348
163,14939 Rio Grande Dr,555000.0,3,2,1782.0,14939 Rio Grande Dr,MORENO VALLEY,RIVERSIDE,943.348
156,15645 Oliver St,616000.0,4,3,2248.0,15645 Oliver St,MORENO VALLEY,RIVERSIDE,943.348
154,22862 Springdale Dr,540000.0,3,3,1538.0,22862 Springdale Dr,MORENO VALLEY,RIVERSIDE,943.348
164,162 Lake Shore Dr,860000.0,3,3,2148.0,162 Lake Shore Dr,RANCHO MIRAGE,RIVERSIDE,943.348
173,71000 Tamarisk Ln,2570000.0,3,5,5173.0,71000 Tamarisk Ln,RANCHO MIRAGE,RIVERSIDE,943.348
159,40804 Caballero Dr,378750.0,2,2,1441.0,40804 Caballero Dr,BEAUMONT,RIVERSIDE,943.348
175,68345 Tortuga Rd,670000.0,4,3,2555.0,68345 Tortuga Rd,CATHEDRAL CITY,RIVERSIDE,943.348
174,68855 Vista Chino,600000.0,3,2,2016.0,68855 Vista Chino,CATHEDRAL CITY,RIVERSIDE,943.348
176,36594 Royal Sage Ct,495000.0,2,2,1229.0,36594 Royal Sage Ct,PALM DESERT,RIVERSIDE,943.348
166,38630 Wisteria Dr,725000.0,3,4,2489.0,38630 Wisteria Dr,PALM DESERT,RIVERSIDE,943.348
168,42922 Scirocco Rd,475000.0,2,2,1295.0,42922 Scirocco Rd,PALM DESERT,RIVERSIDE,943.348
170,48651 Shady View Dr,1900000.0,3,4,3474.0,48651 Shady View Dr,PALM DESERT,RIVERSIDE,943.348
165,73203 Cold Springs Way,279000.0,2,2,1520.0,73203 Cold Springs Way,PALM DESERT,RIVERSIDE,943.348
169,77533 Michigan Dr,595000.0,3,2,1710.0,77533 Michigan Dr,PALM DESERT,RIVERSIDE,943.348
178,23769 Via Segovia,1080000.0,5,4,3697.0,23769 Via Segovia,MURRIETA,RIVERSIDE,943.348
153,2141 Saint Lawrence St,915000.0,3,2,1866.0,2141 Saint Lawrence St,RIVERSIDE,RIVERSIDE,943.348
157,22882 Giant Fir Pl,800000.0,4,3,2400.0,22882 Giant Fir Pl,RIVERSIDE,RIVERSIDE,943.348
152,6741 Huntsman St,625000.0,3,2,1294.0,6741 Huntsman St,RIVERSIDE,RIVERSIDE,943.348
149,2829 Catalina Dr,739000.0,4,3,2004.0,2829 Catalina Dr,ROCKLIN,PLACER,1.371.323
151,1388 Cushendall Dr,540000.0,3,2,1340.0,1388 Cushendall Dr,ROSEVILLE,PLACER,1.371.323
150,400 Leeward Ct,615000.0,4,3,1977.0,400 Leeward Ct,ROSEVILLE,PLACER,1.371.323
143,14122 Sacramento St,740000.0,4,2,2032.0,14122 Sacramento St,FONTANA,SAN BERNARDINO,652.055
139,5615 Benito St,700000.0,4,2,1504.0,5615 Benito St,MONTCLAIR,SAN BERNARDINO,652.055
129,731 N Riverside Ave,605000.0,3,2,1786.0,731 N Riverside Ave,RIALTO,SAN BERNARDINO,652.055
144,920 Alpenweg Dr,735000.0,3,2,1580.0,920 Alpenweg Dr,BIG BEAR LAKE,SAN BERNARDINO,652.055
138,18015 Hercules St,280200.0,3,1,1025.0,18015 Hercules St,HESPERIA,SAN BERNARDINO,652.055
136,18154 Hackberry St,355000.0,3,2,1369.0,18154 Hackberry St,HESPERIA,SAN BERNARDINO,652.055
137,9297 Pinon Ave,510000.0,4,3,2297.0,9297 Pinon Ave,HESPERIA,SAN BERNARDINO,652.055
141,15995 Pinnacle Rd,1500000.0,5,3,3269.0,15995 Pinnacle Rd,CHINO HILLS,SAN BERNARDINO,652.055
140,4173 Kelton Ct,1200000.0,4,3,2404.0,4173 Kelton Ct,CHINO HILLS,SAN BERNARDINO,652.055
130,142 S Mount Vernon Ave,325000.0,2,1,968.0,142 S Mount Vernon Ave,SAN BERNARDINO,SAN BERNARDINO,652.055
135,30362 Live Oak Dr,265000.0,2,1,864.0,30362 Live Oak Dr,SAN BERNARDINO,SAN BERNARDINO,652.055
132,3172 N Lugo Ave,510000.0,3,2,1606.0,3172 N Lugo Ave,SAN BERNARDINO,SAN BERNARDINO,652.055
134,3669 N Shandin Cir,580000.0,3,2,1754.0,3669 N Shandin Cir,SAN BERNARDINO,SAN BERNARDINO,652.055
131,615 W 27th St,405000.0,2,1,917.0,615 W 27th St,SAN BERNARDINO,SAN BERNARDINO,652.055
145,7926 Mesa Rd,400000.0,3,2,1897.0,7926 Mesa Rd,SAN BERNARDINO,SAN BERNARDINO,652.055
133,9870 Tangelo Ave,545000.0,3,2,1474.0,9870 Tangelo Ave,SAN BERNARDINO,SAN BERNARDINO,652.055
122,1255 Navello St,710000.0,3,2,1204.0,1255 Navello St,EL CAJON,SAN DIEGO,1.834.937
123,1274 Clarendon St,699000.0,2,2,1125.0,1274 Clarendon St,EL CAJON,SAN DIEGO,1.834.937
102,15494 Oakstand Ct,2250000.0,5,5,3905.0,15494 Oakstand Ct,POWAY,SAN DIEGO,1.834.937
100,17722 Villamoura Dr,790000.0,2,3,1659.0,17722 Villamoura Dr,POWAY,SAN DIEGO,1.834.937
97,7424 Melodia Ter,2100000.0,4,3,2642.0,7424 Melodia Ter,CARLSBAD,SAN DIEGO,1.834.937
96,3283 Morella Way,835000.0,3,2,1281.0,3283 Morella Way,OCEANSIDE,SAN DIEGO,1.834.937
95,500 N The Strand UNIT 41,950000.0,1,1,860.0,500 N The Strand UNIT 41,OCEANSIDE,SAN DIEGO,1.834.937
92,5143 Via Mindanao,1050000.0,5,3,2854.0,5143 Via Mindanao,OCEANSIDE,SAN DIEGO,1.834.937
106,12433 Kingspine Ave,2530000.0,5,3,3532.0,12433 Kingspine Ave,SAN DIEGO,SAN DIEGO,1.834.937
127,1328 Carnell Ct,675000.0,3,2,1248.0,1328 Carnell Ct,SAN DIEGO,SAN DIEGO,1.834.937
104,13595 Kibbings Rd,2560000.0,4,3,2605.0,13595 Kibbings Rd,SAN DIEGO,SAN DIEGO,1.834.937
124,1471 Bridgeview Dr,765000.0,3,2,1357.0,1471 Bridgeview Dr,SAN DIEGO,SAN DIEGO,1.834.937
101,17545 Matinal Rd,870000.0,3,3,1240.0,17545 Matinal Rd,SAN DIEGO,SAN DIEGO,1.834.937
125,1855 Manzana Way,630000.0,3,2,1293.0,1855 Manzana Way,SAN DIEGO,SAN DIEGO,1.834.937
115,1986 Magdalene Way,1660000.0,4,2,2052.0,1986 Magdalene Way,SAN DIEGO,SAN DIEGO,1.834.937
103,208 Via Osuna,1300000.0,2,2,1267.0,208 Via Osuna,SAN DIEGO,SAN DIEGO,1.834.937
112,2085 Caminito San Nicholas,1550000.0,3,2,1700.0,2085 Caminito San Nicholas,SAN DIEGO,SAN DIEGO,1.834.937
116,3050 Rue D'orleans #281,630000.0,2,1,862.0,3050 Rue D'orleans #281,SAN DIEGO,SAN DIEGO,1.834.937
108,3122 Morning Way,840000.0,1,2,1069.0,3122 Morning Way,SAN DIEGO,SAN DIEGO,1.834.937
114,3134 Brilene Ln,1150000.0,5,4,2489.0,3134 Brilene Ln,SAN DIEGO,SAN DIEGO,1.834.937
105,3656 Torrey View Ct,2520000.0,5,4,2834.0,3656 Torrey View Ct,SAN DIEGO,SAN DIEGO,1.834.937
126,3874 Palm Ave,640000.0,4,3,1631.0,3874 Palm Ave,SAN DIEGO,SAN DIEGO,1.834.937
128,4099 Huerfano Ave UNIT 219,551500.0,2,2,780.0,4099 Huerfano Ave UNIT 219,SAN DIEGO,SAN DIEGO,1.834.937
110,4145 Combe Way,2040000.0,6,4,2716.0,4145 Combe Way,SAN DIEGO,SAN DIEGO,1.834.937
94,420 Verbena Dr,950000.0,4,3,2841.0,420 Verbena Dr,SAN DIEGO,SAN DIEGO,1.834.937
119,4312 Collwood Ln,678000.0,2,2,1161.0,4312 Collwood Ln,SAN DIEGO,SAN DIEGO,1.834.937
118,4645 Santa Monica Ave,2100000.0,4,4,3000.0,4645 Santa Monica Ave,SAN DIEGO,SAN DIEGO,1.834.937
117,4758 Narragansett Ave,1250000.0,1,1,792.0,4758 Narragansett Ave,SAN DIEGO,SAN DIEGO,1.834.937
121,6090 Rock St,727000.0,3,2,1044.0,6090 Rock St,SAN DIEGO,SAN DIEGO,1.834.937
