OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
109,Monterey,Del Rey Oaks,15438.2674596304,4354362.69917263
110,Kern,Delano,75085.9869482685,71003093.3734758
111,Riverside,Desert Hot Springs,89443.7529408403,115059017.081161
112,Los Angeles,Diamond Bar,40852.066185596,56260173.4735795
113,Tulare,Dinuba,32025.4972825879,26401253.5124686
114,Solano,Dixon,45030.9710366051,30637808.0040834
115,Siskiyou,Dorris,10506.6311149448,3429176.4786762
116,Merced,Dos Palos,19920.8749453086,5625361.71415193
117,Los Angeles,Downey,33293.6789301298,47429347.5682638
118,Los Angeles,Duarte,41232.943838468,25352553.1237754
119,Alameda,Dublin,47525.9443533759,63102258.7414137
120,Siskiyou,Dunsmuir,31070.5115649967,7928150.18750104
121,San Mateo,East Palo Alto,17040.0901603936,10429456.6335197
122,Riverside,Eastvale,44382.0657984975,49689314.270597
123,San Diego,El Cajon,86079.6036208551,53431660.9025913
124,Imperial,El Centro,50443.6956161204,44662189.0111585
125,Contra Costa,El Cerrito,20414.098729875,15324817.6795116
126,Los Angeles,El Monte,39418.8778257251,36375737.7007616
127,Los Angeles,El Segundo,21114.5525322777,20524972.5617885
128,Sacramento,Elk Grove,85062.4259833198,180614318.39088
129,Alameda,Emeryville,16662.5735328224,5216920.66828795
130,San Diego,Encinitas,58535.0854006097,72182316.6216
131,San Joaquin,Escalon,31546.1039673827,9845771.8721058
132,San Diego,Escondido,205329.721060864,138573561.773713
133,Siskiyou,Etna,11297.0680933741,3470354.2827865
134,Humboldt,Eureka,67001.7622459425,72595036.0391186
135,Tulare,Exeter,21009.4552142181,9804917.04225123
136,Marin,Fairfax,26563.2613679104,9362702.68002607
137,Solano,Fairfield,159968.996347406,176053174.639487
138,Tulare,Farmersville,22231.5973892842,9056224.68882054
139,Humboldt,Ferndale,11752.2746723778,5185693.68701577
140,Ventura,Fillmore,27109.0917189968,12609623.2953612
141,Fresno,Firebaugh,36627.7771039334,14880424.5708093
142,Sacramento,Folsom,60618.5487121198,127828711.411069
143,San Bernardino,Fontana,91356.777496243,164072193.047461
144,Mendocino,Fort Bragg,47830.7856066286,12609209.3871087
145,Siskiyou,Fort Jones,14024.3053883894,2873459.61284014
146,Humboldt,Fortuna,34275.2801650735,23527739.3313535
147,San Mateo,Foster City,21511.8779761492,17727305.204864
148,Orange,Fountain Valley,26310.695847441,34015924.2815105
149,Fresno,Fowler,30865.7058875035,10684030.0900087
150,Alameda,Fremont,144697.721269361,324788152.286606
151,Fresno,Fresno,446585.491366752,474448227.846794
152,Orange,Fullerton,60838.9973559855,84592257.7213618
153,Sacramento,Galt,39586.7074293158,32903183.1600105
